         100    0.029747
         400    0.303136
         700    0.892665
        1000     1.78741
        1300     2.98411
        1600     4.47788
        1900     6.26304
        2200     8.36624
        2500     10.7788
        2800     13.4803
        3100     16.4879
        3400      19.808
        3700     23.4211
        4000     27.3599
        4300     31.9379
        4600      36.423
        4900     41.1592
        5200     46.1751
        5500     51.5625
        5800     57.6133
        6100     63.3416
        6400     69.7053
        6700     76.4284
        7000     83.3656
        7300     90.6833
        7600     98.2396
        7900     106.173
        8200     114.341
        8500       122.9
        8800     132.758
        9100     141.336
        9400     152.435
        9700     161.066
